student_id,cgpa,tenth_percentage,twelfth_percentage,aptitude_score,coding_score,technical_score,communication_score,number_of_projects,internship,internship_months,certifications,attendance_percentage,backlogs,extracurricular_activities,placement_status
21,8.81,89.65,95.29,57.68,74.24,79.13,73.4,3,Yes,2,1,77.94,0,No,Placed
22,6.95,81.99,75.08,81.11,61.6,51.6,98.95,0,Yes,2,0,74.01,0,No,Placed
23,7.27,72.28,66.76,72.45,95.58,90.4,51.36,2,No,0,0,93.71,0,No,Placed
24,5.63,63.49,71.37,96.13,40.94,62.0,85.86,1,No,0,1,71.49,1,No,Not Placed
25,6.6,70.53,53.52,82.7,48.04,57.71,70.85,2,No,0,2,75.07,4,No,Not Placed
26,7.32,88.06,81.15,82.16,60.32,58.97,82.5,5,No,0,3,87.77,1,Yes,Placed
27,5.93,97.62,94.38,44.18,63.54,67.89,62.14,1,No,0,1,91.38,0,Yes,Not Placed
28,7.61,93.52,92.76,76.46,38.31,45.72,89.29,2,No,0,1,94.2,0,No,Not Placed
29,6.54,69.13,63.14,64.2,22.83,20.39,75.31,2,No,0,0,74.53,0,No,Not Placed
30,6.88,61.56,60.68,56.74,46.23,28.88,57.77,4,No,0,3,87.96,3,Yes,Not Placed
31,6.54,76.69,54.11,67.52,27.8,52.32,69.78,2,No,0,1,77.34,4,No,Not Placed
32,9.24,53.78,48.13,79.18,67.53,77.19,65.69,3,No,0,2,75.94,0,Yes,Placed
33,7.19,78.88,79.62,72.51,65.02,68.15,78.81,4,No,0,2,94.03,0,No,Placed
34,6.04,73.23,63.05,51.82,34.93,35.6,48.76,2,No,0,0,76.5,1,Yes,Not Placed
35,8.1,69.41,67.94,76.14,43.44,47.96,69.47,2,Yes,1,1,84.78,0,Yes,Placed
36,5.86,55.86,58.85,55.44,47.9,39.4,77.12,2,Yes,3,3,83.56,1,No,Not Placed
37,7.43,81.16,75.31,68.25,72.38,66.82,70.59,3,Yes,6,0,71.29,2,Yes,Placed
38,5.04,68.61,68.11,60.45,14.93,10.0,,0,Yes,6,1,91.66,0,Yes,Not Placed
39,5.74,60.96,52.16,61.72,58.22,51.91,83.93,2,Yes,1,3,87.6,4,Yes,Not Placed
40,7.42,45.0,45.0,76.49,71.59,69.95,69.87,3,No,0,1,62.14,4,Yes,Not Placed
41,8.01,74.67,77.08,49.4,78.41,75.8,73.9,2,No,0,2,84.77,3,No,Placed
42,7.39,96.27,92.9,94.18,77.39,82.02,75.32,2,No,0,3,74.27,0,No,Placed
43,7.07,94.94,85.75,37.68,89.61,81.98,77.26,2,Yes,3,2,92.97,0,Yes,Placed
44,6.87,69.51,69.36,56.03,49.61,65.03,37.14,1,No,0,0,67.55,0,No,Not Placed
45,5.57,67.77,71.71,70.55,46.23,64.11,64.57,2,No,0,1,78.44,0,No,Not Placed
46,6.41,80.63,,73.76,45.02,58.35,43.28,2,Yes,3,0,85.62,0,No,Placed
47,6.69,63.02,70.99,63.49,53.58,56.67,93.01,4,No,0,2,82.54,0,No,Placed
48,8.36,78.62,73.07,64.14,89.9,72.36,68.9,1,No,0,2,89.63,1,No,Placed
49,7.58,84.19,84.18,71.16,40.45,57.06,66.52,4,No,0,1,66.82,0,Yes,Not Placed
50,5.26,89.72,95.33,61.53,29.17,55.68,86.14,2,Yes,1,1,98.52,0,Yes,Not Placed
51,7.56,73.8,60.44,85.9,81.11,85.97,77.6,0,No,0,0,87.25,0,Yes,Placed
52,6.78,72.56,64.62,77.59,69.51,91.11,49.68,3,No,0,2,95.6,1,No,Placed
53,6.46,64.46,60.71,78.09,46.2,40.51,68.72,0,No,0,2,90.74,0,No,Not Placed
54,7.87,65.08,57.3,50.51,75.8,56.67,63.97,5,No,0,3,81.88,0,No,Placed
55,8.33,72.28,83.93,63.81,71.79,77.95,38.6,4,No,0,2,69.16,4,No,Not Placed
56,8.22,79.41,69.61,60.49,88.3,82.6,57.58,1,No,0,2,76.36,0,Yes,Placed
57,6.28,85.96,77.92,49.92,51.33,64.05,66.7,1,Yes,1,2,97.9,0,No,Placed
58,6.86,65.36,65.46,70.4,70.26,70.15,67.93,2,No,0,1,95.85,1,Yes,Placed
59,7.56,92.91,79.0,56.94,100.0,78.4,43.32,2,Yes,6,1,75.8,1,Yes,Placed
60,8.27,71.75,66.41,74.83,75.16,72.92,90.73,2,No,0,3,53.82,0,Yes,Placed
61,6.67,74.74,74.81,48.95,54.12,37.24,68.16,2,No,0,1,79.87,3,No,Not Placed
62,7.0,66.03,61.77,90.79,66.8,62.71,70.68,2,Yes,3,1,79.12,3,Yes,Placed
63,5.98,45.91,45.57,51.56,42.39,54.86,77.21,1,No,0,0,79.5,0,No,Not Placed
64,5.88,85.61,77.81,68.29,82.89,87.24,55.81,3,No,0,0,87.29,0,Yes,Placed
65,8.09,83.84,68.34,76.88,67.45,73.91,78.21,3,Yes,6,1,90.76,0,Yes,Placed
66,8.69,71.62,72.03,56.44,65.44,45.53,63.39,2,No,0,0,91.9,0,No,Not Placed
67,7.12,75.8,87.26,77.79,44.43,50.85,53.86,4,Yes,6,0,86.46,0,No,Placed
68,8.3,81.19,78.22,46.56,82.89,59.74,80.32,1,No,0,1,63.99,1,Yes,Placed
69,7.6,56.25,57.43,86.78,73.79,89.45,96.85,0,Yes,1,0,78.59,0,Yes,Placed
70,6.49,68.65,72.33,65.21,44.46,44.85,83.05,2,No,0,2,100.0,1,No,Not Placed
71,7.6,84.53,70.92,56.05,69.43,54.56,86.61,2,No,0,1,85.74,0,Yes,Placed
72,8.89,59.95,72.57,60.51,48.51,52.41,60.63,2,No,0,1,85.68,0,No,Placed
73,7.16,78.52,77.29,77.13,60.06,58.78,41.24,4,Yes,2,0,85.59,0,Yes,Placed
74,8.92,58.72,70.9,56.23,78.16,86.42,96.82,5,No,0,1,86.15,0,Yes,Placed
75,4.32,80.6,71.67,53.76,60.16,50.89,100.0,2,No,0,1,58.17,0,Yes,Not Placed
76,8.1,74.57,86.66,61.68,53.27,41.8,97.77,3,Yes,3,2,79.6,1,No,Placed
77,7.3,55.62,61.26,47.35,39.19,20.11,63.96,0,No,0,2,81.62,0,No,Not Placed
78,6.87,88.98,89.5,,41.54,56.46,49.22,1,Yes,6,0,94.81,0,Yes,Placed
79,7.3,66.18,66.44,56.5,38.36,38.18,50.82,3,No,0,1,82.48,1,No,Not Placed
80,5.01,65.28,61.76,77.47,60.16,51.06,39.69,2,No,0,0,65.53,0,No,Not Placed
81,6.96,77.41,84.27,68.14,78.9,87.56,68.07,2,No,0,4,86.3,0,No,Placed
82,7.59,88.78,86.03,50.23,65.55,67.62,98.9,2,No,0,3,73.96,0,Yes,Placed
83,8.83,62.81,45.79,64.91,88.92,81.44,67.45,2,No,0,1,69.83,1,Yes,Placed
84,6.63,75.74,64.23,76.76,55.05,75.21,75.44,1,Yes,3,1,73.66,0,No,Placed
85,6.31,80.15,75.64,62.18,49.06,59.62,94.76,2,No,0,2,87.43,0,Yes,Placed
86,6.65,83.32,82.47,82.9,48.19,50.37,62.73,1,No,0,2,94.59,0,Yes,Not Placed
87,8.21,77.12,73.95,80.32,61.0,56.4,100.0,0,No,0,1,86.83,3,No,Not Placed
88,7.56,70.6,78.29,78.78,37.28,57.91,100.0,2,No,0,3,88.32,0,Yes,Not Placed
89,6.62,65.07,47.95,58.11,56.9,61.23,67.64,1,Yes,1,1,86.73,1,Yes,Not Placed
90,7.76,76.03,74.58,48.8,61.51,59.4,59.6,4,No,0,1,83.01,1,Yes,Placed
91,7.31,62.13,46.38,55.8,69.63,57.02,82.55,0,Yes,3,2,88.97,0,No,Placed
92,8.27,45.0,51.58,67.94,67.53,73.73,63.74,1,Yes,1,1,57.81,1,Yes,Placed
93,6.43,80.24,76.46,73.19,48.98,48.69,49.18,2,No,0,2,83.11,2,No,Not Placed
94,6.84,85.85,85.62,32.43,41.65,37.86,93.06,2,Yes,1,0,71.55,0,No,Not Placed
95,6.77,46.64,45.0,64.88,55.23,72.6,91.9,0,Yes,2,1,93.63,0,Yes,Placed
96,5.59,62.88,71.83,67.37,55.79,52.66,72.8,0,No,0,0,80.53,0,Yes,Not Placed
97,7.53,82.43,87.52,60.84,43.06,32.66,47.27,5,Yes,1,1,82.31,0,Yes,Not Placed
98,7.49,99.69,99.39,84.37,61.21,57.63,47.87,3,Yes,3,1,66.95,2,No,Placed
99,7.21,75.25,71.69,71.33,61.14,74.14,71.93,2,Yes,1,4,92.17,0,Yes,Placed
100,6.94,66.26,69.28,84.65,44.76,59.28,61.0,2,Yes,6,1,88.27,0,No,Placed
101,5.64,72.81,64.87,61.76,36.33,42.67,63.86,1,No,0,2,87.57,2,Yes,Not Placed
102,6.74,91.5,94.19,79.06,57.36,58.78,88.4,2,No,0,1,73.87,0,Yes,Placed
103,6.82,67.25,78.72,,37.58,58.02,83.2,2,No,0,2,74.26,0,Yes,Placed
104,6.32,65.41,72.43,84.68,55.79,55.96,94.81,4,No,0,1,84.24,2,No,Not Placed
105,7.02,69.21,61.45,48.62,42.75,47.57,,1,Yes,6,1,75.06,0,Yes,Placed
106,7.64,63.56,65.1,61.19,77.1,65.01,63.82,3,Yes,2,0,86.35,1,Yes,Placed
107,9.27,76.47,63.48,59.82,100.0,78.97,83.66,1,Yes,3,1,60.39,0,No,Placed
108,7.39,94.5,94.63,72.34,46.22,47.68,78.07,1,No,0,1,77.12,0,No,Placed
109,7.48,78.88,79.59,75.3,67.88,66.35,97.58,0,No,0,1,99.97,0,No,Placed
110,7.12,71.97,54.82,52.42,46.04,47.47,77.57,1,No,0,3,86.39,0,No,Not Placed
111,5.09,71.5,60.05,66.02,56.33,61.59,100.0,4,Yes,2,2,83.67,4,No,Placed
112,7.17,56.24,53.35,34.7,38.39,10.0,79.72,2,Yes,2,3,100.0,4,Yes,Not Placed
113,7.27,85.6,79.63,86.63,65.34,63.65,89.12,0,No,0,1,58.64,2,Yes,Placed
114,9.91,74.07,61.98,57.31,66.18,59.61,64.18,5,Yes,6,3,73.85,0,No,Placed
115,6.99,72.83,73.66,65.84,52.8,71.76,70.26,4,No,0,2,77.99,4,Yes,Not Placed
116,7.53,100.0,97.01,60.36,44.79,38.66,86.4,3,No,0,0,90.58,1,No,Not Placed
117,7.16,78.59,74.17,82.19,69.63,75.03,99.03,4,No,0,1,90.76,0,Yes,Placed
118,5.91,65.98,,22.44,34.76,46.01,83.13,1,No,0,0,73.34,1,Yes,Not Placed
119,8.46,69.88,76.28,64.75,75.94,59.45,68.5,3,No,0,0,91.98,0,Yes,Placed
120,8.03,88.78,98.15,63.41,59.06,64.3,94.79,3,No,0,0,77.97,0,Yes,Placed
121,8.07,76.36,69.85,58.2,62.84,53.43,30.54,4,No,0,0,94.12,2,No,Not Placed
122,6.2,57.74,52.07,90.89,51.81,58.49,44.4,3,Yes,3,2,71.67,0,Yes,Placed
123,8.74,86.03,86.36,51.69,58.52,48.44,82.27,2,No,0,1,80.77,0,Yes,Placed
124,5.66,66.98,62.42,76.58,48.42,49.55,70.25,3,No,0,1,77.1,0,No,Not Placed
125,7.85,97.48,91.62,70.34,85.72,100.0,80.9,1,Yes,1,2,92.56,3,Yes,Placed
126,9.61,87.96,90.08,83.92,65.2,79.26,71.16,2,No,0,2,76.77,0,No,Placed
127,6.11,69.63,52.39,54.99,66.46,74.04,80.28,1,Yes,2,3,81.58,0,No,Placed
128,6.58,90.37,96.88,54.01,75.09,73.68,55.34,4,No,0,1,87.07,0,No,Placed
129,7.31,75.81,73.81,81.44,46.23,40.73,80.27,1,No,0,1,87.45,0,No,Not Placed
130,6.65,85.23,78.42,71.38,31.34,47.3,87.9,2,Yes,3,1,90.87,4,Yes,Not Placed
131,5.49,80.82,77.02,41.83,48.48,57.22,91.97,2,Yes,6,0,84.11,0,No,Not Placed
132,7.28,64.84,63.06,56.91,49.99,43.53,100.0,5,No,0,0,77.82,0,No,Placed
133,6.03,67.28,51.7,70.8,76.28,84.29,74.39,2,No,0,1,78.5,0,No,Placed
134,7.72,87.36,95.58,,62.29,73.92,74.93,3,No,0,4,82.26,2,Yes,Placed
135,6.19,70.98,69.22,54.81,37.48,61.2,42.58,4,Yes,6,0,84.5,0,No,Placed
136,8.9,70.16,71.68,21.29,54.03,40.03,60.43,2,No,0,0,80.53,1,No,Not Placed
137,6.34,63.54,69.8,72.85,67.06,57.82,66.52,2,No,0,0,82.19,0,No,Placed
138,6.85,80.08,68.91,46.7,46.2,42.73,88.91,3,Yes,1,2,66.83,0,Yes,Not Placed
139,8.09,99.75,98.56,34.74,65.42,70.57,59.0,4,Yes,2,1,88.67,3,Yes,Placed
140,5.85,62.19,58.83,22.52,61.11,31.24,84.33,3,Yes,1,1,83.81,3,No,Not Placed
141,7.45,75.29,79.54,77.21,52.34,39.12,69.97,1,Yes,2,0,92.02,3,Yes,Not Placed
142,8.64,91.95,70.73,66.93,68.41,68.86,66.81,4,No,0,1,82.0,3,Yes,Placed
143,5.43,74.04,70.85,61.62,43.21,44.3,74.48,2,Yes,2,0,64.62,2,No,Not Placed
144,7.4,80.43,72.56,85.84,69.47,74.46,62.96,2,No,0,1,78.42,1,Yes,Placed
145,7.49,62.25,64.48,74.56,68.75,79.94,62.28,3,No,0,0,80.0,2,Yes,Not Placed
146,8.06,80.14,80.89,89.24,61.18,64.07,39.31,1,Yes,3,2,89.43,0,Yes,Placed
147,5.84,72.75,64.82,44.11,47.67,27.87,65.54,3,No,0,1,61.3,0,Yes,Not Placed
148,5.75,86.83,77.45,64.48,40.4,68.07,61.36,2,Yes,1,2,82.41,0,Yes,Not Placed
149,7.77,89.25,84.44,40.75,40.03,30.27,60.71,4,No,0,1,87.14,4,Yes,Not Placed
150,7.53,100.0,87.83,61.56,64.08,52.73,77.5,1,Yes,2,1,75.39,0,Yes,Placed
151,7.48,81.96,85.5,61.27,88.19,91.15,81.86,2,No,0,0,82.75,2,No,Placed
152,7.58,78.91,73.06,74.4,47.39,51.65,74.18,3,No,0,1,75.73,0,No,Not Placed
153,6.45,77.33,51.34,65.68,40.02,47.09,87.92,0,No,0,1,74.7,0,Yes,Not Placed
154,7.46,70.76,65.69,74.35,46.58,59.74,80.36,1,No,0,1,77.92,0,Yes,Placed
155,7.52,79.06,67.85,75.55,71.05,83.23,64.69,5,No,0,2,74.89,0,Yes,Placed
156,6.41,71.46,56.26,97.32,58.04,66.49,61.67,1,Yes,6,2,88.84,0,No,Placed
157,9.25,77.02,64.42,60.27,71.64,83.43,75.63,5,No,0,2,74.65,0,No,Placed
158,7.72,90.81,87.61,50.88,48.0,27.51,80.33,1,No,0,0,72.97,2,Yes,Not Placed
159,5.89,62.92,72.26,68.69,48.5,62.16,95.16,2,No,0,1,99.68,0,Yes,Placed
160,7.92,88.68,87.32,52.97,39.91,35.43,91.44,3,Yes,6,0,91.61,0,No,Placed
161,6.13,90.81,81.87,87.23,51.17,75.71,60.25,3,Yes,2,1,63.38,0,No,Not Placed
162,8.07,73.58,74.87,60.75,77.6,73.97,68.16,2,No,0,1,74.35,1,Yes,Placed
163,8.47,49.54,45.91,56.52,49.03,44.55,82.08,2,No,0,0,84.42,0,No,Placed
164,6.3,67.71,60.38,57.93,27.39,43.18,89.22,3,Yes,6,2,85.24,0,No,Placed
165,8.26,90.56,77.27,75.78,89.77,94.5,86.9,1,No,0,1,67.1,0,No,Placed
166,7.65,74.73,58.24,62.63,52.06,61.65,68.85,2,No,0,1,93.59,0,Yes,Placed
167,8.1,63.01,58.59,55.37,81.87,63.63,47.43,1,No,0,0,90.25,1,No,Placed
168,9.29,68.94,68.31,89.98,71.98,72.54,52.02,2,No,0,1,86.82,2,Yes,Placed
169,6.93,85.09,80.81,52.16,53.01,52.71,74.91,1,Yes,1,3,95.57,0,No,Not Placed
170,6.37,81.56,75.08,65.53,57.54,59.53,76.16,2,Yes,2,1,86.52,0,No,Placed
171,6.22,72.13,62.35,74.78,36.51,55.49,50.22,2,Yes,3,3,86.49,0,Yes,Not Placed
172,6.3,70.6,73.4,40.53,52.41,28.7,70.8,0,No,0,0,97.58,0,No,Not Placed
173,7.12,70.3,57.73,72.2,51.2,60.84,81.36,0,No,0,1,93.01,1,Yes,Not Placed
174,7.58,63.93,68.75,49.17,40.79,40.41,49.28,3,Yes,2,2,73.58,0,Yes,Not Placed
175,7.5,94.38,81.93,77.34,65.1,60.39,89.89,2,No,0,1,88.33,0,Yes,Placed
176,8.11,71.13,63.0,50.56,60.93,50.39,63.2,4,No,0,0,75.36,0,Yes,Placed
177,7.21,89.61,73.91,75.39,55.36,59.22,92.64,3,Yes,1,1,87.04,4,Yes,Placed
178,8.8,93.26,84.92,81.59,52.24,25.03,60.4,0,Yes,2,1,86.77,2,No,Not Placed
179,6.91,86.98,91.08,77.92,79.14,71.76,51.52,2,No,0,2,68.17,2,Yes,Not Placed
180,10.0,69.82,71.96,68.77,93.15,77.08,61.75,0,Yes,1,2,80.78,0,Yes,Placed
181,7.89,79.84,84.69,61.53,77.57,78.08,68.29,3,No,0,2,84.65,0,Yes,Placed
182,6.26,74.71,76.42,56.35,45.48,40.68,63.01,5,No,0,1,77.64,0,Yes,Not Placed
183,6.02,64.16,53.91,87.07,22.24,39.54,66.11,2,No,0,0,85.15,0,Yes,Not Placed
184,7.73,78.89,73.36,54.51,91.14,95.57,76.01,3,No,0,1,90.06,0,Yes,Placed
185,6.95,60.85,53.52,49.44,54.72,63.08,66.92,1,No,0,2,81.69,0,Yes,Placed
186,7.99,89.25,95.97,74.98,52.65,68.37,68.81,2,No,0,3,84.25,0,Yes,Placed
187,7.72,69.42,57.91,53.06,68.02,58.53,39.23,4,No,0,0,95.83,2,No,Placed
188,7.12,77.41,81.82,50.75,74.47,72.78,77.05,1,No,0,1,86.73,0,No,Not Placed
189,6.27,78.4,82.7,43.35,49.8,45.53,68.39,1,Yes,6,1,84.01,0,Yes,Not Placed
190,5.53,71.89,84.34,57.76,63.45,59.78,98.99,2,Yes,3,0,72.42,0,Yes,Placed
191,6.71,82.04,75.56,63.76,69.92,72.17,53.09,3,No,0,1,88.71,0,No,Placed
192,8.14,69.3,73.07,68.65,48.99,48.92,37.45,2,No,0,1,85.3,0,Yes,Not Placed
193,7.44,85.46,100.0,79.27,49.38,73.27,81.13,4,Yes,2,0,94.84,0,No,Placed
194,5.83,58.85,53.02,72.9,61.0,62.97,76.24,0,Yes,2,2,82.47,0,Yes,Placed
195,7.39,76.52,61.58,62.14,18.43,37.73,51.85,2,No,0,2,63.84,0,Yes,Not Placed
196,7.62,98.27,78.4,62.03,58.75,74.29,42.46,3,Yes,2,3,65.0,0,No,Placed
197,6.23,63.0,67.4,72.65,28.36,51.96,97.67,1,No,0,0,89.36,0,No,Not Placed
198,7.37,66.87,50.12,84.09,51.8,47.4,95.45,3,No,0,1,76.3,0,Yes,Placed
199,7.26,81.17,75.07,66.89,53.63,62.06,25.23,1,No,0,1,86.37,0,Yes,Placed
200,5.94,77.15,77.94,57.96,42.17,55.41,61.75,0,Yes,6,1,83.14,0,Yes,Not Placed
201,7.59,79.21,77.77,50.11,52.46,60.68,99.96,1,Yes,3,1,80.33,2,No,Not Placed
202,7.82,80.87,81.19,43.32,46.08,34.12,61.43,4,Yes,3,2,81.04,0,No,Placed
203,8.39,82.62,81.13,74.99,100.0,85.93,61.17,2,Yes,3,0,73.35,0,Yes,Placed
204,8.36,88.32,94.72,73.67,94.89,98.47,64.91,3,No,0,3,81.84,3,Yes,Placed
205,5.68,79.92,69.31,73.66,28.05,34.11,49.82,2,No,0,2,76.16,2,Yes,Not Placed
206,6.17,72.1,64.48,63.07,73.08,67.08,39.31,2,Yes,1,2,78.28,4,Yes,Not Placed
207,7.77,83.07,73.58,86.1,56.14,80.89,88.95,2,Yes,2,2,78.76,1,Yes,Placed
208,7.77,97.8,99.66,57.74,64.06,61.68,36.83,4,Yes,2,1,79.73,0,No,Placed
209,7.77,73.41,78.27,79.33,61.18,59.36,74.45,3,No,0,2,91.22,0,Yes,Placed
210,10.0,63.31,65.58,64.42,70.1,59.62,85.96,3,No,0,1,80.7,1,Yes,Placed
211,7.83,88.28,93.92,55.87,77.38,74.26,43.88,0,No,0,2,92.24,4,No,Not Placed
212,8.45,73.56,61.78,73.89,69.48,57.47,53.36,2,No,0,0,97.38,0,Yes,Placed
213,8.25,48.93,62.37,71.14,58.85,60.06,91.84,2,No,0,0,90.55,2,Yes,Placed
214,7.92,85.17,93.84,70.35,43.76,55.07,79.59,4,No,0,1,87.34,0,Yes,Placed
215,6.85,68.58,72.6,66.22,41.42,61.85,58.89,1,Yes,1,1,85.27,0,Yes,Not Placed
216,8.03,73.91,85.78,64.43,39.66,53.77,91.64,1,No,0,1,90.65,3,No,Not Placed
217,6.35,78.98,62.83,100.0,50.98,58.55,91.72,2,Yes,2,1,82.89,1,No,Placed
218,6.94,77.29,70.36,82.76,37.57,62.91,74.84,1,No,0,2,91.85,4,Yes,Not Placed
219,6.67,83.51,74.28,75.84,49.35,54.3,53.8,1,Yes,3,1,88.14,1,Yes,Placed
220,7.29,69.77,73.57,66.68,78.87,62.86,62.56,4,No,0,1,78.4,0,Yes,Placed
221,9.75,81.16,69.64,80.11,95.96,89.48,75.15,2,Yes,1,0,90.96,0,No,Placed
222,5.15,71.89,75.76,72.77,40.68,64.69,66.61,4,No,0,1,82.91,3,Yes,Not Placed
223,7.95,83.87,91.44,65.39,62.33,64.9,86.9,3,Yes,1,1,80.94,0,Yes,Placed
224,5.43,82.38,84.71,60.45,71.61,68.38,42.46,1,No,0,2,77.24,0,Yes,Placed
225,6.68,63.77,64.67,63.79,61.26,78.39,43.1,2,No,0,0,83.66,0,Yes,Not Placed
226,8.4,88.03,76.33,17.44,62.27,34.51,73.26,0,Yes,3,0,91.96,0,No,Not Placed
227,7.27,68.57,59.94,68.16,36.78,33.33,61.15,4,No,0,1,90.89,0,No,Not Placed
228,6.01,84.7,91.22,57.67,54.02,38.96,58.71,2,No,0,1,85.53,1,No,Not Placed
229,6.41,79.41,82.7,88.89,63.75,75.02,38.17,2,Yes,6,1,88.0,0,Yes,Placed
230,7.95,97.06,92.04,65.29,54.11,59.13,70.35,2,No,0,2,94.72,0,No,Placed
231,6.4,72.32,66.74,47.17,55.54,68.46,69.05,2,No,0,1,80.5,2,No,Not Placed
232,7.44,70.81,52.52,64.25,54.05,59.55,81.76,1,No,0,1,70.85,0,No,Placed
233,7.25,74.77,63.72,49.31,55.24,49.42,71.24,2,Yes,3,1,95.01,2,Yes,Placed
234,6.48,71.36,84.52,72.1,14.55,31.83,67.61,3,No,0,0,76.7,0,No,Not Placed
235,9.56,84.6,70.9,69.36,73.14,73.18,91.19,3,No,0,2,75.1,4,Yes,Placed
236,7.9,55.6,56.56,79.37,77.72,61.5,46.38,2,No,0,1,64.04,0,No,Placed
237,4.97,62.36,69.18,53.14,30.31,64.26,79.66,2,No,0,1,87.71,0,Yes,Not Placed
238,7.41,62.19,50.93,65.51,60.03,66.87,39.92,4,Yes,6,2,65.79,2,No,Placed
239,6.47,86.4,84.24,44.52,40.44,43.76,54.91,0,Yes,2,0,74.5,1,No,Not Placed
240,8.14,95.53,98.48,75.52,70.51,78.16,48.17,4,No,0,2,87.88,0,Yes,Placed
241,6.33,73.75,71.47,72.78,47.38,62.09,84.07,1,No,0,1,89.22,4,Yes,Not Placed
242,7.07,72.97,93.62,72.44,42.5,50.08,68.82,3,No,0,1,75.48,0,Yes,Not Placed
243,7.76,75.84,59.91,65.02,82.03,70.62,69.76,2,Yes,1,2,80.66,4,Yes,Not Placed
244,8.15,88.94,93.52,71.22,79.15,82.77,50.08,2,No,0,2,73.27,0,Yes,Placed
245,5.88,63.87,61.1,89.07,37.96,57.15,64.61,4,Yes,3,1,76.52,0,Yes,Placed
246,6.83,77.86,81.25,60.72,62.12,53.6,56.26,1,No,0,2,84.66,0,No,Not Placed
247,6.68,86.7,86.56,67.08,61.48,77.35,76.9,2,No,0,1,76.98,0,Yes,Placed
248,6.48,81.01,72.05,48.71,61.49,60.59,52.16,2,No,0,1,79.56,0,No,Not Placed
249,9.14,77.27,76.38,51.98,47.72,56.3,93.94,3,Yes,3,0,67.35,0,No,Placed
250,7.65,87.01,68.45,66.47,76.26,87.24,39.84,1,No,0,0,93.33,0,No,Not Placed
251,5.81,45.0,50.33,81.56,37.96,51.26,55.48,3,No,0,2,87.1,0,No,Placed
252,8.21,83.13,82.21,61.16,60.31,63.73,100.0,2,No,0,0,89.93,0,Yes,Placed
253,9.53,67.15,70.55,61.46,100.0,96.54,62.17,1,Yes,1,0,94.9,2,No,Placed
254,8.34,53.03,61.19,58.9,71.21,60.27,46.33,3,No,0,2,73.75,0,Yes,Not Placed
255,5.53,81.13,80.96,56.98,38.43,44.54,73.94,0,Yes,3,0,78.42,1,No,Not Placed
256,6.67,91.48,88.52,69.42,20.26,36.26,61.44,2,No,0,0,63.05,4,No,Not Placed
257,8.59,73.35,63.97,42.54,89.6,65.92,54.95,0,Yes,1,1,100.0,0,No,Placed
258,6.42,86.43,77.09,84.21,31.19,70.28,50.27,2,Yes,1,1,80.5,4,Yes,Not Placed
259,7.69,94.35,99.41,55.02,46.45,34.95,100.0,2,Yes,6,2,92.39,0,No,Placed
260,8.05,90.78,98.19,75.83,59.45,51.38,65.47,2,Yes,1,1,69.62,0,No,Placed
261,6.18,94.68,88.31,45.95,70.69,76.41,35.34,2,Yes,6,1,91.96,0,No,Placed
262,7.13,83.91,80.88,75.03,68.67,77.71,96.89,2,No,0,2,100.0,0,Yes,Placed
